Identifier (RIC),Company Name,"Total Current Assets
(FY-2, usd)","Revenue
(FY-2, usd)","Gross Profit
(FY-2, usd)","Asset Turnover
(FY-2)","Net Profit Margin, (%)
(FY-2)","Total Debt to Total Equity, Percent
(FY-2)","ESG Score
(FY-2)","Environmental Pillar Score
(FY-2)","Social Pillar Score
(FY-2)","Governance Pillar Score
(FY-2)"
CCL.N,Carnival Corp,10133000000.0,1908000000.0,-809000000.0,0.04,-4.98,2.74,69.78,68.74,58.18,88.11
CCL.L,Carnival PLC,10133000000.0,1908000000.0,-2155000000.0,0.04,-4.98,2.74,77.64,80.02,88.74,58.85
MGM.N,MGM Resorts International,6416182000.0,9680140000.0,4649531000.0,0.25,0.12,2.13,63.41,86.09,53.66,57.63
TNL.N,Travel + Leisure Co,4380000000.0,3134000000.0,1537000000.0,0.44,0.1,2.0,62.42,86.74,54.22,52.85
MAR.OQ,Marriott International Inc,3626000000.0,13857000000.0,2801000000.0,0.55,0.08,7.17,84.13,82.92,89.92,76.53
RCL.N,Royal Caribbean Cruises Ltd,3600271000.0,1532133000.0,-1083258000.0,0.05,-3.43,4.15,70.05,78.7,78.23,50.0
ACCP.PA,Accor SA,3500215992.54,2505513493.85,2444126139.64,0.21,-0.01,0.82,81.22,77.48,89.2,72.6
NCLH.N,Norwegian Cruise Line Holdings Ltd,3301568000.0,647986000.0,-960051000.0,0.03,-6.96,5.12,65.65,73.81,63.63,61.35
WYNN.OQ,Wynn Resorts Ltd,2875917000.0,3763664000.0,1205083000.0,0.29,-0.2,2.0,77.06,70.65,76.92,83.03
HLT,Hilton Worldwide Holdings Inc,2350000000.0,5788000000.0,2334000000.0,0.37,0.07,2.0,84.24,87.58,79.93,87.7
IHG.L,InterContinental Hotels Group PLC,2066000000.0,2907000000.0,893000000.0,0.6,0.09,2.0,82.99,87.52,85.75,74.77
H.N,Hyatt Hotels Corp,2062000000.0,3028000000.0,1389000000.0,0.28,-0.07,1.12,57.01,75.49,53.51,45.63
WTB.L,Whitbread PLC,1692535600.37,2273352106.66,2077700222.88,0.19,0.03,1.14,80.4,70.71,82.0,86.7
1992.HK,Fosun Tourism Group,1567632121.66,1458017506.02,404112183.37,0.24,-0.29,8.32,46.0,50.0,52.0,48.0
